NAME,YEAR,POPESTIMATE,EDUC,SES,HOUS,TECH,TOTAL,EDUC_CHANGE,SES_CHANGE,HOUS_CHANGE,TECH_CHANGE,CHANGE_RATE,region,pop
"Abilene, TX",2021,126160.0,92.18395555803616,81.14055066527752,89.25208208099215,88.32670417808318,87.72582312059725,0.798745138653767,-3.621483352666377,1.4063424322768414,0.811654728231681,-0.1051913688225103,South,150k-250k
"Akron, OH",2021,188550.0,83.9305682810604,80.51063409639418,84.0256088836447,82.32490687758965,82.69792953467223,-3.287359277320001,0.9029752394923208,-1.0951277460446218,1.070830006619805,-0.6578594438433005,Midwest,150k-250k
"Alameda, CA",2021,76246.0,117.78041027301012,115.26432564387328,119.13071412689013,103.25377673664056,113.85730669510352,-4.006247525915352,-0.9918337030193848,-1.905738793444589,-10.914678942876945,-4.414852459571517,West,65k-150k
"Albany, GA",2021,66314.0,80.08643490021761,67.23353528216946,77.09467112768057,57.19208255062338,70.40168096517274,2.7415620655309336,2.3019651312138123,-0.2881959365487629,-12.201488922211956,-1.5800622268412945,South,65k-150k
"Albany, NY",2021,100735.0,104.64196628758708,84.43173165648332,86.08808394404565,107.44057954802082,95.6505903590342,-1.653704045533988,-0.9430190216411116,-0.2442744829132204,7.347901337995122,1.2115913856004743,Northeast,150k-250k
"Albuquerque, NM",2021,563108.0,103.01152033693272,88.69989186514094,99.00476797684668,100.0613948777985,97.69439376417972,-0.2155987416411098,-1.2218843907322086,0.7717579505237548,7.192246253606816,1.5995375538589762,West,>500k
"Alexandria, VA",2021,155203.0,118.47626078448135,109.84971887756788,99.59268294512604,101.96754344312232,107.4715515125744,-0.7566814378584419,-0.3637768191896873,-5.811528696095037,-6.65388434223707,-3.3103165425205416,South,150k-250k
"Alhambra, CA",2021,81168.0,99.91285229615283,149.28964205818602,112.82404215709172,117.13678518063908,119.7908304230174,-0.1003928662800524,0.3891910107575835,-2.3128662102700925,9.227801902827036,1.633877234281167,West,65k-150k
"Allen, TX",2021,107019.0,116.28132839668376,119.758440537478,101.9989837956051,124.64487284752394,115.67090639432271,-3.017513061640553,-1.0640348982762449,-6.424926573601219,-5.335247131593423,-3.9313703085635976,South,150k-250k
"Allentown, PA",2021,125772.0,80.90092988204343,103.27679777166824,80.94194061221553,84.83369079911623,87.48833976626085,-3.5893568220973338,1.2245058825026467,-1.6516074590007257,-6.374403838384191,-2.47949907391436,Northeast,150k-250k
"Amarillo, TX",2021,200852.0,87.95306200013721,75.96975094959751,94.79002365599572,91.18405029946646,87.47422172629922,-5.216021956266292,0.0724931252854776,-1.0126432247165915,35.10576992802363,5.403809282326844,South,150k-250k
"Ames, IA",2021,67005.0,126.57050121943574,86.335232380056,89.49275927800876,104.45771870068224,101.71405289454567,-1.85755469053418,-1.3454906424775537,-4.5616016777365935,-4.2137111029281975,-2.96819248731105,Midwest,65k-150k
"Anaheim, CA",2021,346174.0,90.50391899675384,127.5118394549269,107.87734617046662,101.21878090989117,106.77797138300964,-3.238276111905713,1.3721175302848554,-3.221748016249681,-2.839056540545326,-1.805158303049581,West,250k-500k
"Anchorage Municipality, AK",2021,288702.0,105.00957075459851,90.3360941306743,96.67078714522872,98.85066739066586,97.71677985529186,0.2766988884668642,0.4552841124850548,-3.0794663399155264,8.891897790840053,1.4797717114625186,West,250k-500k
"Ann Arbor, MI",2021,119070.0,137.45440624234945,103.3944342276366,94.93459131208536,120.29450868218412,114.01948511606388,-1.5369287032683698,-0.3466197470109344,-1.7758829014225763,-0.9868568999221616,-1.1745561984196409,Midwest,150k-250k
"Antioch, CA",2021,114964.0,90.95191450664171,112.96245798763005,102.2853120222246,100.14637985863638,101.5865160937832,-1.824118618164361,-1.0786425864534044,-4.474504532565604,-8.905586012525557,-4.1296062503440645,West,150k-250k
"Apple Valley, CA",2021,76158.0,87.50705442963809,107.12061629193435,104.105449940722,87.16758499830382,96.47517641514958,5.5622326168947245,-1.4935773741810765,3.529521805357838,-20.1685845263862,-3.858159639201242,West,65k-150k
"Appleton, WI",2021,74856.0,100.82484249843525,85.47169045277602,97.4738639133328,98.91888273981196,95.672319901089,3.317656445742534,3.299201303611299,-4.022459176727744,-13.500377370490636,-3.421222202201124,Midwest,65k-150k
"Arlington County, VA",2021,233574.0,123.64374443822756,102.00928977299526,105.7407290923002,119.76254006584364,112.78907584234167,-0.7968504713759095,0.1551061387883745,-3.470014406139943,6.613640500581086,0.6229335828744631,South,150k-250k
"Arlington Heights, IL",2021,76153.0,116.85396324359048,102.14235192623067,109.5496402148716,116.84899217249252,111.34873688929632,-0.2598832288201347,-2.094265101668291,2.414552214189758,8.223875948234438,2.055967788978341,Midwest,65k-150k
"Arlington, TX",2021,393278.0,92.140642716294,99.6699554779668,89.07770677667142,104.94913337318964,96.45935958603047,-5.192344542434924,0.082067631023075,-3.5791064655616767,1.8763643000018204,-1.6161439656726897,South,250k-500k
"Arvada, CO",2021,123591.0,112.26658062289955,80.99373045575128,111.65448450175572,116.29414296553604,105.30223463648564,1.8935660493993425,1.8562704197149005,1.826666171204261,2.315874207632973,1.984844430027266,West,150k-250k
"Asheville, NC",2021,94142.0,109.91342584637891,87.77365451917547,98.61792822711452,105.72219094850492,100.50679988529346,2.551617268912243,3.323952212174497,-1.0004219206145917,11.454912857843947,3.990600787670751,South,65k-150k
"Atlanta, GA",2021,492667.0,113.89277612083478,63.25318813631364,96.49770360957714,104.74938306812548,94.59826273371274,-1.2191256053678323,-0.5552616831279722,-2.2884855376223423,6.681521450781958,0.6762351309872461,South,250k-500k
