NAME,YEAR,POPESTIMATE,EDUC,SES,HOUS,TECH,TOTAL,EDUC_CHANGE,SES_CHANGE,HOUS_CHANGE,TECH_CHANGE,CHANGE_RATE,region,pop
"Abilene, TX",2017,122173.0,88.59314137543737,87.5766021772207,87.8432639799108,104.90966759518382,92.23066878193816,4.943008226938939,3.3687125980443438,2.098758151534663,-2.2760409579587138,1.762397267274074,South,150k-250k
"Akron, OH",2017,198023.0,87.17422063382564,78.78186630761608,84.87578053273849,77.93218025833347,82.19101193312842,-2.068139109541689,1.2156499028662893,0.0776892325648814,11.149393861276623,2.1718603613640086,Midwest,150k-250k
"Alameda, CA",2017,80178.0,116.85263170541052,117.85392131615689,125.30134942804402,114.7149698629371,118.68071807813712,4.9628830039170735,-4.424197999314517,-0.4087107937802203,5.068011605758693,1.0835503474611483,West,65k-150k
"Albany, GA",2017,73232.0,92.61905935326088,66.63859174899385,82.90602527215276,77.42947367235814,79.89828751169141,19.055370011590767,2.558982538655541,4.627433469585318,17.769349055690608,11.063628236975664,South,65k-150k
"Albany, NY",2017,97775.0,102.94213807813048,86.84377735753687,83.10306346129047,102.65942071471731,93.88709990291878,1.7349977053537469,1.4522658570696343,-1.742145398645356,10.60982513902924,3.122804198846718,Northeast,65k-150k
"Albuquerque, NM",2017,559796.0,103.42796436498504,88.43806763703262,98.69991260931096,93.24402653435614,95.9524927864212,1.079984571537862,0.2663458347061498,1.1510939269963938,4.891892061067482,1.8068689004548943,West,>500k
"Alexandria, VA",2017,158772.0,117.35492163586636,116.86526738269636,105.1216854896728,111.25835269317976,112.6500568003538,-1.5625048275732412,5.255790713699482,-1.1111753108069111,2.887999146271869,1.3300286326386024,South,150k-250k
"Alhambra, CA",2017,85270.0,99.80019825100878,152.7320391659228,119.1350187891479,107.72003023358336,119.84682160991572,5.340678716120784,0.4339932973991267,-4.306459013788466,-1.7787653395196945,-0.3310762068821971,West,65k-150k
"Allen, TX",2017,101375.0,130.3589958102228,122.59006963021864,100.06737544666012,140.6936026500612,123.42751088429068,7.39519157556896,0.8278436150251922,-8.390649657809735,0.2121710686763922,0.2264615366608824,South,150k-250k
"Allentown, PA",2017,121080.0,79.5565011558827,107.01320942567716,82.16952050225727,94.21874386533734,90.7394937372886,-0.9572752093001902,8.013500348554082,-3.5238138862222823,-5.18776157308154,-0.2709740192121224,Northeast,150k-250k
"Amarillo, TX",2017,199628.0,88.65551593665207,80.02338171590014,94.84136379576772,72.93356279801992,84.11345606158497,-2.813557409309908,-2.0421171513854364,-0.3826826137517725,-5.601837200521631,-2.584748427012573,South,150k-250k
"Ames, IA",2017,66338.0,132.8681103413308,91.36608703332384,87.39527798748165,114.67003485516622,106.57487755432564,-2.8228978361746315,-0.9573177491217222,1.3689576301636697,8.417840524512755,1.2687038149063357,Midwest,65k-150k
"Anaheim, CA",2017,352710.0,92.87334534138397,126.6509834973508,109.91698018128112,88.85275638726334,104.5735163518198,3.2825818742102664,-0.847243881595372,-1.221820874120816,-5.816658858057167,-1.1759613252338983,West,250k-500k
"Anchorage Municipality, AK",2017,295118.0,109.92645192493084,91.48484077887194,101.80757979070432,97.81199797113504,100.25771761641052,1.8154998987498503,0.6522082312139688,-0.3683991047441659,-10.085888329213544,-2.146110979226312,West,250k-500k
"Ann Arbor, MI",2017,121716.0,143.7810202156108,107.97037575281914,99.1733936198886,118.92235582027436,117.46178635214822,-2.989471624131368,2.1726499190095394,2.7181324428533715,-4.574105899035851,-1.0968886829162527,Midwest,150k-250k
"Antioch, CA",2017,111426.0,90.01729462836465,114.77206719244327,103.86314894017374,103.74133385760436,103.0984611546465,-1.4976816778993318,-0.9385080556622128,1.1220233056457474,-11.302998676980792,-3.4020005028833067,West,150k-250k
"Apple Valley, CA",2017,72984.0,85.7308432834493,101.03906957872093,104.70511394296388,103.35676586137868,98.7079481666282,-2.6594418798779884,-2.1581990619590763,-0.6273825462706273,12.073709249069475,1.5176557051590711,West,65k-150k
"Appleton, WI",2017,74468.0,103.0608916570326,86.22612657365357,100.7058741304144,102.54053199373362,98.13335608870857,4.696085699577446,0.884048645157498,0.5762520270021998,-4.931567276229487,0.1623286974653748,Midwest,65k-150k
"Arlington County, VA",2017,235193.0,128.15958725033173,105.58228122916115,110.35632144390524,120.49427019922254,116.14811503065516,0.1791785813688218,-0.0984239477957782,1.3820055431680969,-3.207636894364485,-0.5061631542887635,South,150k-250k
"Arlington Heights, IL",2017,75455.0,120.90406876308428,102.39532808163216,113.66144238873927,117.3418683307915,113.5756768910618,2.3551693989192213,1.9252222058733888,1.582030890128716,1.0497974422980727,1.7253315694946814,Midwest,65k-150k
"Arlington, TX",2017,396993.0,92.9979727154539,102.27799544782616,90.9782274053145,100.29749915764512,96.63792368155993,-4.215411465729457,-1.0266443312426654,0.2166291499052564,8.5081212570838,0.7578080294962763,South,250k-500k
"Arvada, CO",2017,119220.0,110.10710842014106,81.5874850928319,105.73923414182504,111.08165786899356,102.12887138094788,2.3295685399417065,-0.4675892336659437,-6.71661289925829,-3.918284847107978,-2.3940890926691383,West,150k-250k
"Asheville, NC",2017,91819.0,114.78890357507612,85.0393191701041,102.57815534534204,97.05428695374482,99.86516626106678,2.060621224532966,2.8854845305887,-1.846370715602641,3.545764802879803,1.5498256067810523,South,65k-150k
"Atlanta, GA",2017,492121.0,109.44054323502849,62.75971437516046,96.64192625440614,92.3420033309208,90.29604679887898,-1.0615144122317677,0.7068229676258975,2.8552561245347663,-3.530280952077636,-0.3944021314166157,South,250k-500k
